branch_id	sub_tree	type	note
B310	(Procavia_capensis:B11,Heterohyrax_brucei:B12)	internal	
B311	((Loxodonta_africana:B9,Elephas_maximus:B10):B309,(Procavia_capensis:B11,Heterohyrax_brucei:B12):B310)	internal	
B312	(Dugong_dugon:B14,Hydrodamalis_gigas:B15)	internal	
B313	(Trichechus_manatus_latirostris:B13,(Dugong_dugon:B14,Hydrodamalis_gigas:B15):B312)	internal	
B314	(((Loxodonta_africana:B9,Elephas_maximus:B10):B309,(Procavia_capensis:B11,Heterohyrax_brucei:B12):B310):B311,(Trichechus_manatus_latirostris:B13,(Dugong_dugon:B14,Hydrodamalis_gigas:B15):B312):B313)	internal	
B315	((Orycteropus_afer_afer:B5,(Elephantulus_edwardii:B6,(Chrysochloris_asiatica:B7,Echinops_telfairi:B8):B306):B307):B308,(((Loxodonta_africana:B9,Elephas_maximus:B10):B309,(Procavia_capensis:B11,Heterohyrax_brucei:B12):B310):B311,(Trichechus_manatus_latirostris:B13,(Dugong_dugon:B14,Hydrodamalis_gigas:B15):B312):B313):B314)	internal	
B316	(Oryctolagus_cuniculus_cuniculus:B19,Sylvilagus_bachmani:B20)	internal	
B317	(Lepus_timidus:B18,(Oryctolagus_cuniculus_cuniculus:B19,Sylvilagus_bachmani:B20):B316)	internal	
B318	(Ochotona_princeps:B17,(Lepus_timidus:B18,(Oryctolagus_cuniculus_cuniculus:B19,Sylvilagus_bachmani:B20):B316):B317)	internal	
B319	(Glis_glis:B21,Muscardinus_avellanarius:B22)	internal	
B320	(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29)	internal	
B321	(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320)	internal	
B322	(Marmota_monax:B26,(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320):B321)	internal	
B323	(Xerus_inauris:B25,(Marmota_monax:B26,(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320):B321):B322)	internal	
B324	(Sciurus_vulgaris:B24,(Xerus_inauris:B25,(Marmota_monax:B26,(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320):B321):B322):B323)	internal	
B325	(Aplodontia_rufa:B23,(Sciurus_vulgaris:B24,(Xerus_inauris:B25,(Marmota_monax:B26,(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320):B321):B322):B323):B324)	internal	
B326	((Glis_glis:B21,Muscardinus_avellanarius:B22):B319,(Aplodontia_rufa:B23,(Sciurus_vulgaris:B24,(Xerus_inauris:B25,(Marmota_monax:B26,(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320):B321):B322):B323):B324):B325)	internal	
B327	(Petromus_typicus:B33,Thryonomys_swinderianus:B34)	internal	
B328	(Heterocephalus_glaber:B32,(Petromus_typicus:B33,Thryonomys_swinderianus:B34):B327)	internal	
B329	(Chinchilla_lanigera:B35,Dinomys_branickii:B36)	internal	
B330	(Ctenomys_sociabilis:B38,Octodon_degus:B39)	internal	
