branch_id	sub_tree	type
B151	Manis_javanica	terminal
B229	Muntiacus_reevesi	terminal
B311	((Loxodonta_africana:B9,Elephas_maximus:B10):B309,(Procavia_capensis:B11,Heterohyrax_brucei:B12):B310)	internal
B383	(Cebus_capucinus_imitator:B90,Sapajus_apella:B91)	internal
B438	(((Molossus_molossus:B119,(Miniopterus_schreibersii:B120,(Myotis_myotis:B121,(Aeorestes_cinereus:B122,(Eptesicus_fuscus:B123,Pipistrellus_kuhlii:B124):B417):B418):B419):B420):B421,(Noctilio_leporinus:B125,(Mormoops_blainvillei:B126,(Macrotus_californicus:B127,((Anoura_caudifer:B128,Leptonycteris_yerbabuenae:B129):B422,((Artibeus_jamaicensis:B130,Sturnira_hondurensis:B131):B423,(Phyllostomus_discolor:B132,Tonatia_saurophila:B133):B424):B425):B426):B427):B428):B429):B430,(((Rousettus_aegyptiacus:B134,Eidolon_dupreanum:B135):B431,(Pteropus_pselaphon:B136,Macroglossus_sobrinus:B137):B432):B433,((Megaderma_lyra:B138,Craseonycteris_thonglongyai:B139):B434,(Rhinolophus_sinicus:B140,Hipposideros_galeritus:B141):B435):B436):B437)	internal
B157	Lynx_pardinus	terminal
B569	(Kogia_breviceps:B279,Physeter_catodon:B280)	internal
B344	(Allactaga_bullata:B49,Jaculus_jaculus:B50)	internal
B421	(Molossus_molossus:B119,(Miniopterus_schreibersii:B120,(Myotis_myotis:B121,(Aeorestes_cinereus:B122,(Eptesicus_fuscus:B123,Pipistrellus_kuhlii:B124):B417):B418):B419):B420)	internal
B315	((Orycteropus_afer_afer:B5,(Elephantulus_edwardii:B6,(Chrysochloris_asiatica:B7,Echinops_telfairi:B8):B306):B307):B308,(((Loxodonta_africana:B9,Elephas_maximus:B10):B309,(Procavia_capensis:B11,Heterohyrax_brucei:B12):B310):B311,(Trichechus_manatus_latirostris:B13,(Dugong_dugon:B14,Hydrodamalis_gigas:B15):B312):B313):B314)	internal
B189	Taxidea_taxus_jeffersonii	terminal
B196	Lontra_canadensis	terminal
B15	Hydrodamalis_gigas	terminal
B283	Mesoplodon_stejnegeri	terminal
B467	(Chrysocyon_brachyurus:B174,Lycaon_pictus:B175)	internal
B281	Platanista_minor	terminal
B292	Phocoena_phocoena	terminal
B436	((Megaderma_lyra:B138,Craseonycteris_thonglongyai:B139):B434,(Rhinolophus_sinicus:B140,Hipposideros_galeritus:B141):B435)	internal
B18	Lepus_timidus	terminal
B249	Beatragus_hunteri	terminal
B92	Aotus_nancymaae	terminal
B262	Ovis_nivicola_lydekkeri	terminal
B346	(Onychomys_torridus:B55,Peromyscus_californicus_insignis:B56)	internal
B476	(Nasua_narica:B185,(Procyon_lotor:B186,(Bassariscus_astutus:B187,Bassariscus_sumichrasti:B188):B474):B475)	internal
B90	Cebus_capucinus_imitator	terminal
B80	Indri_indri	terminal
B271	Eubalaena_australis	terminal
B22	Muscardinus_avellanarius	terminal
B73	Galeopterus_variegatus	terminal
B120	Miniopterus_schreibersii	terminal
B535	(Beatragus_hunteri:B249,Damaliscus_lunatus:B250)	internal
B445	((Equus_burchellii_boehmi:B142,Equus_zebra:B143):B439,((Tapirus_indicus:B144,Tapirus_terrestris:B145):B440,(Dicerorhinus_sumatrensis_sumatrensis:B146,(Rhinoceros_unicornis:B147,(Ceratotherium_simum_simum:B148,Diceros_bicornis:B149):B441):B442):B443):B444)	internal
B524	((Muntiacus_reevesi:B229,(Muntiacus_crinifrons:B230,Muntiacus_muntjak:B231):B519):B520,(Axis_porcinus:B232,(Elaphurus_davidianus:B233,(Przewalskium_albirostris:B234,Cervus_hanglu_yarkandensis:B235):B521):B522):B523)	internal
B284	Mesoplodon_bidens	terminal
B200	Odobenus_rosmarus_divergens	terminal
B404	(Hylobates_moloch:B110,Nomascus_leucogenys:B111)	internal
